Country,Confirmed_Cases,Deaths,Recovered,Month
Finland,1.0,0.0,1.0,02/12/2020
Malaysia,19.0,0.0,3.0,02/14/2020
Cambodia,1.0,0.0,1.0,02/15/2020
Spain,2.0,0.0,2.0,02/22/2020
Nepal,1.0,0.0,1.0,02/26/2020
Estonia,1.0,0.0,0.0,02/28/2020
Saudi Arabia,1.0,0.0,0.0,03/02/2020
Hong Kong,100.0,2.0,37.0,03/03/2020
Estonia,10.0,0.0,0.0,03/09/2020
Switzerland,491.0,3.0,3.0,03/10/2020
Nepal,1.0,0.0,1.0,03/11/2020
Spain,2277.0,55.0,183.0,03/12/2020
Monaco,2.0,0.0,0.0,03/12/2020
Bolivia,10.0,0.0,0.0,03/14/2020
Others,696.0,7.0,325.0,03/16/2020
Brazil,321.0,1.0,2.0,03/17/2020
Lebanon,163.0,4.0,4.0,03/20/2020
Uruguay,94.0,0.0,0.0,03/20/2020
Guyana,7.0,1.0,0.0,03/20/2020
Angola,1.0,0.0,0.0,03/20/2020
Armenia,160.0,0.0,1.0,03/21/2020
Brunei,83.0,0.0,2.0,03/21/2020
Brunei,88.0,0.0,2.0,03/22/2020
Nigeria,40.0,1.0,2.0,03/23/2020
South Africa,554.0,0.0,4.0,03/24/2020
Nicaragua,2.0,0.0,0.0,03/25/2020
Hong Kong,410.0,4.0,102.0,03/25/2020
Jordan,235.0,1.0,18.0,03/27/2020
Central African Republic,3.0,0.0,0.0,03/29/2020
Kazakhstan,284.0,1.0,20.0,03/29/2020
South Africa,1326.0,3.0,31.0,03/30/2020
Djibouti,30.0,0.0,0.0,03/31/2020
Haiti,15.0,0.0,1.0,03/31/2020
Antigua and Barbuda,7.0,0.0,0.0,04/01/2020
Guinea,30.0,0.0,0.0,04/01/2020
Nicaragua,5.0,1.0,0.0,04/01/2020
Bahrain,643.0,4.0,381.0,04/02/2020
Luxembourg,2612.0,31.0,500.0,04/03/2020
Spain,119199.0,11198.0,30513.0,04/03/2020
Gambia,4.0,1.0,2.0,04/04/2020
Lithuania,683.0,7.0,0.0,04/04/2020
Austria,12051.0,204.0,2998.0,04/05/2020
Russia,6343.0,47.0,406.0,04/06/2020
Mexico,2785.0,141.0,633.0,04/08/2020
Dominica,16.0,0.0,5.0,04/11/2020
Liechtenstein,79.0,1.0,55.0,04/11/2020
Uzbekistan,767.0,4.0,42.0,04/11/2020
Moldova,1662.0,31.0,94.0,04/12/2020
UK,85206.0,10629.0,626.0,04/12/2020
Latvia,655.0,5.0,16.0,04/13/2020
Germany,131359.0,3294.0,68200.0,04/14/2020
Kenya,234.0,11.0,53.0,04/16/2020
Peru,15628.0,400.0,6811.0,04/19/2020
South Africa,3158.0,54.0,903.0,04/19/2020
Estonia,1552.0,43.0,169.0,04/21/2020
Djibouti,986.0,2.0,252.0,04/23/2020
Equatorial Guinea,214.0,1.0,7.0,04/24/2020
South Korea,10728.0,242.0,8717.0,04/25/2020
Jordan,447.0,7.0,337.0,04/26/2020
Paraguay,228.0,9.0,93.0,04/27/2020
San Marino,538.0,41.0,64.0,04/27/2020
Guyana,74.0,8.0,15.0,04/28/2020
Liechtenstein,82.0,1.0,55.0,04/28/2020
Qatar,12564.0,10.0,1243.0,04/29/2020
Ivory Coast,1333.0,15.0,597.0,05/01/2020
Japan,14305.0,455.0,2975.0,05/01/2020
Greece,2620.0,143.0,1374.0,05/02/2020
Guinea,1586.0,7.0,405.0,05/03/2020
Thailand,2969.0,54.0,2739.0,05/03/2020
Barbados,82.0,7.0,46.0,05/04/2020
Mozambique,81.0,0.0,19.0,05/05/2020
Algeria,5182.0,483.0,2323.0,05/07/2020
Venezuela,414.0,10.0,193.0,05/10/2020
Uzbekistan,2486.0,10.0,1988.0,05/11/2020
Central African Republic,143.0,0.0,10.0,05/12/2020
Indonesia,14749.0,1007.0,3063.0,05/12/2020
