Country,Confirmed_Cases,Deaths,Recovered,Month
Chad,472509.0,17091.0,407704.0,null
Russia,5.02795541E8,1.0290072E7,4.46206053E8,null
Paraguay,2.1414145E7,438831.0,1.7572483E7,null
North Ireland,1.0,0.0,0.0,null
Yemen,400669.0,93299.0,200799.0,null
Senegal,3982394.0,101646.0,3558183.0,null
Sweden,8.4351019E7,1549552.0,17590.0,null
Cabo Verde,1959122.0,18585.0,1825696.0,null
Guyana,1104379.0,25615.0,978428.0,null
Philippines,7.9806602E7,1526614.0,7.0102582E7,null
Jersey,6.0,0.0,0.0,null
Eritrea,332386.0,918.0,275322.0,null
Burma,1.6946672E7,379346.0,1.5450587E7,null
Djibouti,890302.0,9204.0,815753.0,null
Singapore,7493034.0,3902.0,7255573.0,null
Malaysia,3.443291E7,129888.0,3.081262E7,null
Fiji,8360.0,242.0,7041.0,null
Turkey,3.70546227E8,3609666.0,3.39820999E8,null
Malawi,3322536.0,106888.0,2403149.0,null
Iraq,9.1364893E7,1668032.0,8.3032786E7,null
Germany,3.12961741E8,8198022.0,2.76274049E8,null
Comoros,377289.0,14125.0,332662.0,null
Cambodia,297312.0,1629.0,141719.0,null
Afghanistan,6793089.0,296363.0,5938910.0,null
Ivory Coast,4287338.0,24765.0,4048975.0,null
Jordan,5.6412308E7,681180.0,5.0858224E7,null
Maldives,2474870.0,7311.0,2185974.0,null
Rwanda,2224918.0,30014.0,1924750.0,null
Sudan,3686644.0,231252.0,2653119.0,null
France,4.91460066E8,1.1021127E7,3.369411E7,null
Greece,2.6311915E7,861704.0,1.1359636E7,null
Kosovo,9072418.0,204465.0,7760453.0,null
Sri Lanka,9597748.0,55390.0,8909345.0,null
MS Zaandam,1385.0,306.0,847.0,null
Taiwan,134386.0,1363.0,115470.0,null
('St. Martin',),2.0,0.0,0.0,null
Dominica,17558.0,0.0,16062.0,null
occupied Palestinian territory,25.0,0.0,0.0,null
Algeria,1.3695928E7,373246.0,9417537.0,null
Togo,950982.0,11410.0,780763.0,null
Equatorial Guinea,762756.0,11503.0,716606.0,null
Slovakia,3.6899628E7,885309.0,2.8090467E7,null
Macau,8091.0,0.0,6723.0,null
Reunion,137.0,0.0,0.0,null
Argentina,2.64639636E8,6358252.0,2.3592135E8,null
Belgium,9.7868109E7,2826553.0,250255.0,null
Angola,2579117.0,61089.0,2324045.0,null
San Marino,482806.0,10632.0,419818.0,null
East Timor,1.0,0.0,0.0,null
Qatar,2.0574735E7,35108.0,1.902567E7,null
Ecuador,3.5682868E7,1946756.0,3.0089408E7,null
Lesotho,1139899.0,29512.0,438369.0,null
Albania,1.2440335E7,221707.0,8605734.0,null
Madagascar,2762820.0,43930.0,2520616.0,null
Finland,7537188.0,94736.0,4907812.0,null
Ghana,9570720.0,71422.0,9055858.0,null
Nicaragua,783999.0,21081.0,511351.0,null
Guernsey,3.0,0.0,0.0,null
The Gambia,1.0,0.0,0.0,null
Peru,1.65161185E8,5745845.0,1.54831835E8,null
Benin,686032.0,8754.0,601808.0,null
Sierra Leone,448818.0,9543.0,311653.0,null
China,0.0,0.0,0.0,null
India,1.467342099E9,1.9706081E7,1.368066555E9,null
Curacao,2.0,0.0,0.0,null
Bahamas,1059466.0,22397.0,918572.0,null
Belarus,3.4816013E7,243183.0,3.3270692E7,null
Kuwait,2.452756E7,140326.0,2.3006229E7,null
Malta,2814248.0,39542.0,2524600.0,null
