Month_As_Number,Year,Country,Confirmed,Deaths,Recovered
4,2020,Papua New Guinea,8,0,0
4,2021,Papua New Guinea,10997,107,8943
3,2020,Paraguay,65,3,1
4,2020,Paraguay,239,9,102
4,2021,Paraguay,276865,6302,227540
3,2020,Peru,1065,30,394
4,2020,Peru,33931,943,10037
4,2021,Peru,26021,439,0
4,2021,Peru,61687,2583,0
4,2021,Peru,18689,441,0
4,2021,Peru,71592,2386,0
4,2021,Peru,25941,717,0
4,2021,Peru,50458,1183,0
4,2021,Peru,90627,3161,0
4,2021,Peru,53147,1120,0
4,2021,Peru,12898,362,0
4,2021,Peru,29732,935,0
4,2021,Peru,48139,2732,0
4,2021,Peru,60439,2078,0
4,2021,Peru,64858,3709,0
4,2021,Peru,49300,2495,0
4,2021,Peru,819444,26537,0
4,2021,Peru,38296,1402,0
4,2021,Peru,12654,224,0
4,2021,Peru,23037,527,0
4,2021,Peru,12744,353,0
4,2021,Peru,69209,2929,0
4,2021,Peru,28490,791,0
4,2021,Peru,39773,1155,0
4,2021,Peru,23226,731,0
4,2021,Peru,15005,542,0
4,2021,Peru,29656,884,0
4,2021,Peru,8277,326,1728662
