SNo,Province_State,Country_Region,Confirmed,Deaths,Recovered,ObservationDate
4662,Texas,US,13,0,0,2020-03-10
4860,Texas,US,21,0,0,2020-03-11
5074,Texas,US,27,0,0,2020-03-12
5419,Texas,US,43,0,0,2020-03-13
5524,Texas,US,57,0,0,2020-03-14
5773,Texas,US,72,0,0,2020-03-15
6032,Texas,US,85,0,0,2020-03-16
6303,Texas,US,110,1,0,2020-03-17
6566,Texas,US,173,3,0,2020-03-18
6845,Texas,US,260,5,0,2020-03-19
7126,Texas,US,394,5,0,2020-03-20
7415,Texas,US,581,5,0,2020-03-21
7962,Texas,US,643,7,0,2020-03-22
8261,Texas,US,764,9,0,2020-03-23
8563,Texas,US,968,12,0,2020-03-24
8869,Texas,US,1248,15,0,2020-03-25
9178,Texas,US,1563,21,0,2020-03-26
9489,Texas,US,1937,26,0,2020-03-27
9803,Texas,US,2455,30,0,2020-03-28
10118,Texas,US,2792,38,0,2020-03-29
10434,Texas,US,3173,46,0,2020-03-30
10751,Texas,US,3809,56,0,2020-03-31
11068,Texas,US,4309,80,0,2020-04-01
11387,Texas,US,4984,89,0,2020-04-02
11706,Texas,US,5755,116,0,2020-04-03
12026,Texas,US,6596,134,0,2020-04-04
12348,Texas,US,7243,159,0,2020-04-05
12671,Texas,US,8108,174,0,2020-04-06
12994,Texas,US,8996,183,0,2020-04-07
13317,Texas,US,9858,212,0,2020-04-08
13640,Texas,US,11276,232,0,2020-04-09
13964,Texas,US,12227,261,0,2020-04-10
14288,Texas,US,13145,288,0,2020-04-11
14611,Texas,US,13780,306,0,2020-04-12
14934,Texas,US,14328,337,0,2020-04-13
15257,Texas,US,15088,363,0,2020-04-14
15580,Texas,US,16044,406,0,2020-04-15
15903,Texas,US,16985,440,0,2020-04-16
16226,Texas,US,17925,479,0,2020-04-17
16549,Texas,US,18724,501,0,2020-04-18
16872,Texas,US,19282,521,0,2020-04-19
17195,Texas,US,19847,542,0,2020-04-20
17518,Texas,US,20785,574,0,2020-04-21
17840,Texas,US,21577,596,0,2020-04-22
18163,Texas,US,22797,645,0,2020-04-23
18483,Texas,US,23772,663,0,2020-04-24
18803,Texas,US,24287,678,0,2020-04-25
19123,Texas,US,25051,699,0,2020-04-26
19447,Texas,US,25565,717,0,2020-04-27
19771,Texas,US,26506,764,0,2020-04-28
20095,Texas,US,27542,803,0,2020-04-29
20421,Texas,US,28890,847,0,2020-04-30
20747,Texas,US,29970,882,0,2020-05-01
