Date,Province_State,Country_Region,Confirmed,Deaths,Recovered
2020-05-13,New York,US,340661.0,27477.0,0.0
2020-05-14,New York,US,343051.0,27641.0,0.0
2020-05-15,New York,US,345813.0,27878.0,0.0
2020-05-16,New York,US,348232.0,28049.0,0.0
2020-05-17,New York,US,350121.0,28232.0,0.0
2020-05-18,New York,US,351371.0,28339.0,0.0
2020-05-19,New York,US,352845.0,28558.0,0.0
2020-05-20,New York,US,354370.0,28636.0,0.0
2020-05-21,New York,US,356458.0,28743.0,0.0
2020-05-22,New York,US,358154.0,28853.0,0.0
2020-05-23,New York,US,359926.0,29031.0,0.0
2020-05-24,New York,US,361515.0,29141.0,0.0
2020-05-25,New York,US,362764.0,29229.0,0.0
2020-05-26,New York,US,363836.0,29302.0,0.0
2020-05-27,New York,US,364965.0,29484.0,0.0
2020-05-28,New York,US,366733.0,29529.0,0.0
2020-05-29,New York,US,368284.0,29646.0,0.0
2020-05-30,New York,US,369660.0,29710.0,0.0
